pair_id,trades,stoploss_hits,trailing_hits,final_pnl_%
2UAV8nQUvPGu2xukwgKAiKcBrmVJQ5NfgEDVGS9gLZeJ,400,10,1,25.15845013449529
2uF4Xh61rDwxnG9woyxsVQP7zuA6kLFpb3NvnRQeoiSd,400,0,0,12.792984218689899
3kJFarCnbEhFR3aCRfDzVSeC6sygeQT7xynL5RShUM9n,133,13,12,14327.131228784194
4g9NkVnQ2tHeuWpCavYGmiizRFawwrsq8TFkB8adieDh,401,0,0,3.8136442410131464
5DBqaJegKNemJxvrvrReHDL1Dkpk83237PYH2wjUpdgi,345,0,0,29.286943816076167
6DAb4gD3KA9t1ppUA1yUrqZu88oB7S6kvTe8ByHj1ybk,37,0,0,21391.488635484577
6wB4BxHKEBsRYRj2sMWWDFmQrz3ubGgxLq28StuNVAiM,400,0,0,0.029139577113214247
7a5KSzaq9YRif61bXvAAqY7fPjTbjodeVG31aECxZX6m,32,16,15,300.825830460218
7ccKzmrXBpFHwyZGPqPuKL6bEyWAETSnHwnWe3jEneVc,400,3,2,12.437659461160987
7cjgE6PwoNqfXjayUvUDE7TCS2GmPNnP1jCT29jT3JVJ,400,1,1,31.9235284260523
8UJX3b6nh4nG6swnZNJJpVmikHtMvvbodJzQ3zok3md9,342,41,24,360.98265576244927
8e8EiakqpXzeJoZ1h5ZrTSN6SsXXukP2JN2E9N6cFwKm,403,0,0,6.681051457738288
93tjgwff5Ac5ThyMi8C4WejVVQq4tuMeMuYW1LEYZ7bu,400,0,0,5.4570207826274055
9eyegrQF3JnEnEnGQKn2M7EB7H1j1ZTq8Sb65738wUMG,400,17,6,-69.16488426543991
B4Vwozy1FGtp8SELXSXydWSzavPUGnJ77DURV2k4MhUV,400,0,0,-1.7511241104482256
BBXyTX5UfbASibLRo3iaptuwF5846njxm7M4xFQTQz3d,400,1,0,33.19741691931692
BrNAhqmUBh72WZKdYzAkvDcdh1tj4UYRQozQ3eWxLVVY,400,13,1,8.93162215796691
C7nifTybacZvuLo3PcqfWtUaiSaPawgmLgvHSuwCgsmj,400,0,0,23.402249965798006
CcyHh3WgYRpLMDgSRSsJ2ptneSHfrc73oR51r72pAHU7,400,17,7,2.3776775648490096
CrkWh6wtxQuN9b8rqv9SjHJTHwcPLRAy1pTJFrng9H2m,400,67,31,142.41358449881443
D1sGA541g5nt2sregwU651kwSgNZCsLEmhP2ziBmhYYX,120,4,0,-14.373665817030043
D6bmarrDVAqxmwP9TxfgQb4aor93S126hL9oV5ziCcdC,400,15,5,-32.25165480495787
EswyQZ6Xe2aCkb7DfCBSmPzj6gerHxLKvmvQthaW1ixm,400,3,2,14.809376747907303
FBZSQpAYGQJpmRT8L33QnGwv6bCaTx6XCjmTPVCw3gdZ,400,29,14,22.347879437980882
GzgVbzeGArjBz8VYYq5uotMfyrmupmGScsbnUufPju1U,402,2,0,15.138984568793157
